Date;Client;ClientMACAddress;BaseRadioMAC;Slot;UserName;IPAddress;Reason;ReasonCode;TxPkts;TxBytes;RxPkts;RxBytes
2021-02-02 17:16:32;Association;de:d5:c4:d0:64:7c;18:8b:9d:b3:cd:00;0;unknown;172.30.67.97
2021-02-02 17:07:10;Association;c0:dc:da:f0:d2:13;18:8b:9d:b3:cd:00;1;0603822172;172.30.104.252
2021-02-02 17:07:08;Association;c0:dc:da:f0:d2:13;18:8b:9d:b3:cd:00;0;0603822172;172.30.104.252
2021-02-02 17:07:08;Association;c0:dc:da:f0:d2:13;18:8b:9d:b3:cd:00;0;0603822172;172.30.104.252
2021-02-02 17:07:03;Association;bc:7f:a4:17:df:79;5c:83:8f:ac:52:e0;1;0602359705;172.30.104.158
2021-02-02 17:07:03;Association;bc:7f:a4:17:df:79;5c:83:8f:ac:52:e0;1;0602359705;172.30.104.158
2021-02-02 17:06:59;Association;46:97:70:14:eb:78;18:8b:9d:83:df:50;0;unknown;192.168.182.154
2021-02-02 17:06:56;Association;da:3e:eb:52:76:a7;5c:83:8f:bf:29:f0;0;0604429993;172.30.105.15
2021-02-02 17:06:56;Association;da:3e:eb:52:76:a7;5c:83:8f:bf:29:f0;0;0604429993;172.30.105.15
2021-02-02 17:06:49;Association;bc:7f:a4:17:df:79;5c:83:8f:26:5f:f0;1;0602359705;172.30.104.158
2021-02-02 17:06:49;Association;bc:7f:a4:17:df:79;5c:83:8f:26:5f:f0;1;0602359705;172.30.104.158
2021-02-02 17:06:48;Association;c0:dc:da:f0:d2:13;d4:a0:2a:4b:2b:20;0;0603822172;172.30.104.252
2021-02-02 17:06:48;Association;c0:dc:da:f0:d2:13;d4:a0:2a:4b:2b:20;0;0603822172;172.30.104.252
2021-02-02 17:06:38;Association;bc:7f:a4:17:df:79;5c:83:8f:bf:29:f0;0;0602359705;172.30.104.158
2021-02-02 17:06:38;Association;bc:7f:a4:17:df:79;5c:83:8f:bf:29:f0;0;0602359705;172.30.104.158
2021-02-02 17:06:37;Disassociated;d6:72:47:80:9d:f5;5c:83:8f:bf:2b:70;0;unknown;172.30.67.84;Disassociatedduetoinactivity;4;47l;4907l;69l;5326l
2021-02-02 17:06:37;Disassociated;d6:72:47:80:9d:f5;5c:83:8f:bf:2b:70;0;unknown;172.30.67.84;Disassociatedduetoinactivity;4;47l;4907l;69l;5326l
2021-02-02 17:06:37;Disassociated;d6:72:47:80:9d:f5;5c:83:8f:bf:2b:70;0;unknown;172.30.67.84;Disassociatedduetoinactivity;4
2021-02-02 17:06:27;Disassociated;6c:72:e7:c2:b2:10;5c:83:8f:ac:7c:20;0;unknown;unknown;4-WayHandshaketimeout;15;8l;3595l;11l;713l
2021-02-02 17:06:25;Association;da:3e:eb:52:76:a7;ec:bd:1d:52:71:30;0;0604429993;172.30.105.15
2021-02-02 17:06:25;Association;da:3e:eb:52:76:a7;ec:bd:1d:52:71:30;0;0604429993;172.30.105.15
2021-02-02 17:06:17;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:06:17;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:06:16;Association;bc:7f:a4:17:df:79;18:8b:9d:c5:9a:10;0;0602359705;172.30.104.158
2021-02-02 17:06:16;Association;bc:7f:a4:17:df:79;18:8b:9d:c5:9a:10;0;0602359705;172.30.104.158
2021-02-02 17:06:16;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;1;0602359705;172.30.104.204
2021-02-02 17:06:16;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;1;0602359705;172.30.104.204
2021-02-02 17:06:10;Disassociated;7e:3d:8a:e7:c7:c2;5c:83:8f:b6:c5:10;1;unknown;172.30.67.66;Disassociatedduetoinactivity;4;456l;152116l;746l;178766l
2021-02-02 17:06:10;Disassociated;7e:3d:8a:e7:c7:c2;5c:83:8f:b6:c5:10;1;unknown;172.30.67.66;Disassociatedduetoinactivity;4;456l;152116l;746l;178766l
2021-02-02 17:06:10;Disassociated;7e:3d:8a:e7:c7:c2;5c:83:8f:b6:c5:10;1;unknown;172.30.67.66;Disassociatedduetoinactivity;4
2021-02-02 17:06:09;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:71:30;0;0602359705;172.30.104.158
2021-02-02 17:06:09;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:71:30;0;0602359705;172.30.104.158
2021-02-02 17:06:01;Association;bc:7f:a4:17:df:79;2c:36:f8:b9:ed:80;0;0602359705;172.30.104.158
2021-02-02 17:06:01;Association;bc:7f:a4:17:df:79;2c:36:f8:b9:ed:80;0;0602359705;172.30.104.158
2021-02-02 17:05:58;Disassociated;66:ae:d0:aa:80:cc;5c:83:8f:23:58:a0;0;unknown;192.168.181.122;Disassociatedduetoinactivity;4;46059l;55341993l;10819l;2129801l
2021-02-02 17:05:58;Disassociated;66:ae:d0:aa:80:cc;5c:83:8f:23:58:a0;0;unknown;192.168.181.122;Disassociatedduetoinactivity;4;46059l;55341993l;10819l;2129801l
2021-02-02 17:05:58;Disassociated;66:ae:d0:aa:80:cc;5c:83:8f:23:58:a0;0;unknown;192.168.181.122;Disassociatedduetoinactivity;4
2021-02-02 17:05:52;Association;da:3e:eb:52:76:a7;18:8b:9d:c5:9a:10;0;0604429993;172.30.105.15
2021-02-02 17:05:52;Association;da:3e:eb:52:76:a7;18:8b:9d:c5:9a:10;0;0604429993;172.30.105.15
2021-02-02 17:05:51;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;1;unknown;172.30.67.41
2021-02-02 17:05:48;Association;da:3e:eb:52:76:a7;18:8b:9d:c5:9a:10;1;0604429993;172.30.105.15
2021-02-02 17:05:48;Association;da:3e:eb:52:76:a7;18:8b:9d:c5:9a:10;1;0604429993;172.30.105.15
2021-02-02 17:05:43;Association;bc:7f:a4:17:df:79;18:8b:9d:c5:9a:10;1;0602359705;172.30.104.158
2021-02-02 17:05:43;Association;bc:7f:a4:17:df:79;18:8b:9d:c5:9a:10;1;0602359705;172.30.104.158
2021-02-02 17:05:41;Association;da:3e:eb:52:76:a7;d8:b1:90:d3:be:a0;1;0604429993;172.30.105.15
2021-02-02 17:05:41;Association;da:3e:eb:52:76:a7;d8:b1:90:d3:be:a0;1;0604429993;172.30.105.15
2021-02-02 17:05:35;Association;da:3e:eb:52:76:a7;c4:0a:cb:24:b7:80;0;0604429993;172.30.105.15
2021-02-02 17:05:35;Association;da:3e:eb:52:76:a7;c4:0a:cb:24:b7:80;0;0604429993;172.30.105.15
2021-02-02 17:05:32;Disassociated;ec:d0:9f:33:dc:a8;d4:a0:2a:4b:1f:40;0;unknown;unknown;IEEE802.1Xauthenticationfailed;23;13l;3400l;10l;777l
2021-02-02 17:05:29;Association;bc:7f:a4:17:df:79;d8:b1:90:d3:be:a0;1;0602359705;172.30.104.158
2021-02-02 17:05:29;Association;bc:7f:a4:17:df:79;d8:b1:90:d3:be:a0;1;0602359705;172.30.104.158
2021-02-02 17:05:21;Association;bc:7f:a4:17:df:79;54:4a:00:c7:3d:f0;0;0602359705;172.30.104.158
2021-02-02 17:05:21;Association;bc:7f:a4:17:df:79;54:4a:00:c7:3d:f0;0;0602359705;172.30.104.158
2021-02-02 17:05:17;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;0;0602359705;172.30.104.204
2021-02-02 17:05:17;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;0;0602359705;172.30.104.204
2021-02-02 17:05:15;Association;bc:7f:a4:17:df:79;cc:d5:39:9f:cd:b0;1;0602359705;172.30.104.158
2021-02-02 17:05:15;Association;bc:7f:a4:17:df:79;cc:d5:39:9f:cd:b0;1;0602359705;172.30.104.158
2021-02-02 17:05:14;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;1;0602359705;172.30.104.204
2021-02-02 17:05:14;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;1;0602359705;172.30.104.204
2021-02-02 17:05:13;Association;46:97:70:14:eb:78;18:8b:9d:83:df:50;1;unknown;192.168.182.154
2021-02-02 17:04:57;Association;da:3e:eb:52:76:a7;54:4a:00:c7:3d:f0;0;0604429993;172.30.105.15
2021-02-02 17:04:57;Association;da:3e:eb:52:76:a7;54:4a:00:c7:3d:f0;0;0604429993;172.30.105.15
2021-02-02 17:04:53;Association;46:97:70:14:eb:78;18:8b:9d:83:df:50;0;unknown;192.168.182.154
2021-02-02 17:04:52;Disassociated;7c:a1:77:1a:23:46;d4:a0:2a:4b:2b:20;0;0602359705;172.30.105.18;Previousauthenticationnolongervalid;2;1142l;373403l;2179l;596679l
2021-02-02 17:04:52;Disassociated;d0:28:ba:a8:0c:bb;d4:a0:2a:4b:2b:20;0;unknown;192.168.183.145;Previousauthenticationnolongervalid;2;63099l;63095307l;35305l;12299081l
2021-02-02 17:04:50;Association;ba:4d:b3:57:a8:52;18:8b:9d:83:df:50;1;unknown;192.168.182.160
2021-02-02 17:04:43;Disassociated;e0:24:81:74:24:cd;d4:a0:2a:4b:53:e0;0;unknown;172.30.67.94;Disassociatedduetoinactivity;4;979l;266672l;1088l;281226l
2021-02-02 17:04:43;Disassociated;e0:24:81:74:24:cd;d4:a0:2a:4b:53:e0;0;unknown;172.30.67.94;Disassociatedduetoinactivity;4;979l;266672l;1088l;281226l
2021-02-02 17:04:43;Disassociated;e0:24:81:74:24:cd;d4:a0:2a:4b:53:e0;0;unknown;172.30.67.94;Disassociatedduetoinactivity;4
2021-02-02 17:04:41;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;0;unknown;172.30.67.41
2021-02-02 17:04:37;Association;fa:b9:76:9d:50:cd;d4:a0:2a:4b:53:e0;0;unknown;192.168.182.177
2021-02-02 17:04:32;Disassociated;7c:a1:77:1a:23:46;d4:a0:2a:4b:2b:20;0;0602359705;172.30.105.18;GroupKeyHandshaketimeout;16;1142l;373403l;2179l;596679l
2021-02-02 17:04:32;Disassociated;d0:28:ba:a8:0c:bb;d4:a0:2a:4b:2b:20;0;unknown;192.168.183.145;GroupKeyHandshaketimeout;16;63099l;63095307l;35305l;12299081l
2021-02-02 17:04:27;Disassociated;6a:2f:d1:0a:9b:27;5c:83:8f:b6:96:f0;0;0603822172;172.30.104.200;Disassociatedduetoinactivity;4;2323l;2694184l;1746l;212506l
2021-02-02 17:04:27;Disassociated;6a:2f:d1:0a:9b:27;5c:83:8f:b6:96:f0;0;0603822172;172.30.104.200;Disassociatedduetoinactivity;4;2323l;2694184l;1746l;212506l
2021-02-02 17:04:27;Disassociated;6a:2f:d1:0a:9b:27;5c:83:8f:b6:96:f0;0;0603822172;172.30.104.200;Disassociatedduetoinactivity;4
